publishTime,position,salary,companyName,companyType,companySize,responsibility,requirement,requirement_city,requirement_exp,requirement_edu,avg_salary
发布于2018-11-04 22:02,网站运营,6K-8K,搜房网房天下,互联网,已上市10000人以上,岗位职责：1、负责网站内容运营；2、指导地方运营工作，定期组织培训；3、配合市场活动，进行营销活动策划及微信推广；4、对接营销产品需求，提升用户服务；岗位要求：1、全日制统招本科；2、有互联网和房地产经验者优先；3、有较强的沟通能力；4、对互联网营销有一定认识，能承受一定压力；,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,7000.0
发布于2018-05-19 14:27,活动运营,20K-40K,贝壳找房,移动互联网,C轮10000人以上,岗位要求1.    围绕业务场景策划各类线上、线下活动，以提升用户规模为核心运营指标，对活动进行数据分析并不断创新。2.    独立负责各项专题和活动策划，提升运营数据；根据市场行情制定不同推广时期的营销策划方案；3.    可以独立完成需求挖掘、需求撰写、统筹资源，研发跟进、活动执行、数据分析等完整流程，把控活动节点、效果跟踪、整理反馈、总结复盘和优化等各个环节，按照时间节点和质量要求完成活动目标；有针对性的调整运营活动策略，对活动效果进行优化；4.    指派的其他工作。技能要求1.    2年以上活动运营工作经验，有偏交易类产品的活动策划者优先，大型互联网知名企业背景优先；2.    较好的活动策划能力和项目统筹能力，具有良好的团队沟通与协作能力，有做大型活动项目owner的经历；3.    产品意识，精准把握用户诉求了解产品规划、运营、优化、维护的经验和能力； 4.    逻辑分析能力强，具备良好的系统思考能力；5.    自驱力强，抗压能力好。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,30000.0
发布于2018-11-13 10:17,用户运营,15K-20K,赛普健身学院,在线教育,已上市500-999人,岗位职责：1、负责用户运营管理，精准定位目标用户群，结合用户使用场景，建立相应的用户运营机制、模型、策略，并进行精细化用户群体层级划分；2、策划并推动线上活动，从全局角度有效提升用户转化；3、研究和建立有效触达工具、运营工具，梳理策略，设计平台产品交互，推动上线；4、建立有效的数据跟踪机制，及时发现并处理运营问题。,城市：北京经验：1年以内学历：本科,北京,1年以内,本科,17500.0
发布于2018-11-16 18:08,用户运营,8K-13K,融360,互联网金融,已上市1000-9999人,1、 负责处理合伙人及其客户关于合伙人平台使用的问题、订单对账、需求反馈以及客诉投诉等问题，妥善处理、保证服务质量；2、 负责帮助重点合伙人建立微信群，沟通微信群的维护工作流程及注意事项；3、 监控并辅助管理微信群，维护良好的群氛围和客户合作关系，维护用户黏度，帮助合伙人解决突发问题；4、 负责领导安排的其它工作。薪酬=基本工资＋提成（薪资范围只体现基本工资部分）,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,10500.0
发布于2018-07-05 10:37,社群运营,8K-15K,VIPKID,移动互联网,D轮及以上10000人以上,社群运营岗位（用户增长方向）工作内容： 1、负责搭建和运营用户社群，完成社群运营流程的梳理与标准化；2、组织、策划社群活动（线上），对不同类型用户设计有效的激励机制，负责用户拉新，提升社群活跃度并促成转化；3、  针对社群活动进行相关数据分析，对每一次活动作出及时反馈、结案、报告汇总等；4、 参与线上活动宣传文案的撰写和进度推进 任职要求：1. 熟悉微信群、订阅号的运营和管理，有过不低于1年的实战经验；2. 在社群运营岗位上有自己的价值观和方法论，尤其欢迎有过大型社群运营经验的人才；3. 心态开放，勇于尝试，目标清晰！4. 对教育有热爱，了解用户需求，数据驱动；5. 本科学历，有教育培训行业经验、有微商城运营/分销经验优先！薪资：8-15K（底薪+绩效模式，薪资区间为KPI）团队氛围还不错，公司福利待遇OK有KPI ，希望抗压能力可以，希望能接受加班,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,11500.0
发布于2018-11-07 16:35,运营,7K-14K,金恪控股集团,互联网,未融资500-999人,岗位职责：1、参与及协助讲师团队对线上课程进⾏行行前期选题策划、质量量把关，制定课程产品的上线标准；2、统筹线上课程的宣传推⼴广规划，全盘负责课程推⼴广的⽂文案、活动策划、推⼴广上线等⼯工作，对课程的浏览量量、购买量量等核⼼心数据负责；3、监控、分析线上课程的数据，输出运营报告，对下⼀一阶段的运营策略略进⾏行行调整；4、与⽤用户、讲师进⾏行行沟通交流，基于学员反馈，挖掘学员的学习需求，推动⽤用户体验的优化；5、优化运营流程，探索课程运营的各种创意新玩法。岗位要求：1、有1年年及以上在线教育⾏行行业运营经验优先，熟悉课程运营的各种玩法；2、具备良好的⽂文案功底和活动策划能⼒力力，能独⽴立运⽤用不不同的运营⼿手段达到⽬目标；3、有良好的团队协作能⼒力力、沟通能⼒力力、执⾏行行⼒力力，具备⼀一定的抗压性；4、富有责任⼼心和创新意识，有⼀一定的洞洞察⼒力力，能及时发现和解决问题。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,10500.0
发布于2018-10-31 21:10,推荐产品运营,8K-15K,省钱快报,电子商务,C轮100-499人,职位职责：1、评估优化推荐召回/排序策略，推动研发降低Badcase；2、负责提升省钱快报推荐结果质量提升，定期给出评估报告；3、设计分析数据报表，分析评估产品迭代优化效果。职位要求：1、对推荐有一定理解，善于辨识各类问题，满足推荐需求；2、具备较好的逻辑分析能力和产品策略判断能力；3、有极强的好奇心、自我驱动能力强；4、有电商推荐产品或有NLP/机器学习相关经验优先。该岗位可接受优秀的应届毕业生,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,11500.0
发布于2018-11-09 11:17,高级运营,8K-12K,浪潮集团,计算机软件,已上市10000人以上,岗位职责：1、按照客户要求，制定业务运营计划并实施；完成各项运营数据及考核指标；提升平台及产品用户数量、用户活跃度及用户满意度； 2、 负责策划、协调、实施、运营线上及线下的营销活动，实现预期的活动目标；根据客户需求及用户反馈，定期提出网站及客户端产品的改版升级建议，并负责推进实施； 3、 负责平台产品、营销活动、优质教育资源在线下、网站、客户端及微信公众号上的营销策划及宣传推广； 4、 分析总结网站及客户端的运营数据、用户特性，形成总结报告提交管理层决策； 5、 保持市场敏感性，对和校园业务及同类产品竞争信息进行定期搜集和整理，形成总结报告提交管理层参考。 任职要求：1、专科及以上学历，3年以上工作经验；2、 了解互联网运营机制； 3、 关注细节问题，沟通能力强，协作意识良好，自我管理能力强； 4、 认真负责、积极主动、思路清晰、开拓进取、具备高昂的工作激情和自我激励能力，适应高压力、高挑战的工作环境。 E-mail：*****,城市：北京经验：3-5年学历：大专,北京,3-5年,大专,10000.0
发布于2018-11-19 20:21,APP运营,7K-9K,赛普健身学院,在线教育,已上市500-999人,岗位职责：1、负责收集和整理日常运营更新的内容；2、负责收集和整理用户提出的反馈意见，并进行功能的优化；3、定期收集和分析运营数据，为内容运营方向提供有效的数据支持；4、协调各方资源，负责APP专题执行及推广；5、应用商店的更新及维护。任职资格：1、大专以上学历，优秀应届生也可以培养哦~；2、熟悉并热爱互联网行业，了解互联网各类产品；3、诚信、乐观、有创新意识和团队合作精神；4、熟练使用PS，EXCEL等操作软件。,城市：北京经验：1年以内学历：本科,北京,1年以内,本科,8000.0
发布于2018-11-02 20:27,活动运营,10K-20K,京东集团,电子商务,已上市10000人以上,新通路事业部承接京东线下拓展全部业务（具体自行百度）岗位职责：分别负责母婴、宠物、文具、酒水、粮油、洗化、水饮等类目的品类活动策划运营。包括B2B特色的流量运营、用户运营、活动运营、品类运营，策略性解决拉新复购，提升App下单转化率等。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,15000.0
发布于2018-11-11 22:30,社区运营,8K-15K,中国平安,互联网金融,已上市10000人以上,1:《招聘》售后服务专员、双休、法定节假日。 2:工作内容：理赔报销，保单交费提醒、生存金返还、身份证升级、新产品开拓、车险、寿险、信用卡、证劵、信托、平安好房、平安好车、平安银行存款、贷款、平安商城、等金融服务3:工作时间、9:00-16:00 4:工资3600-5400+提成+超额奖金+年终奖+商业保险。5:男女不限、有责任心、事业心、挑战高薪欢迎参加面试。,城市：北京经验：1年以内学历：大专,北京,1年以内,大专,11500.0
发布于2018-11-16 18:06,社群运营,12K-24K,融360,互联网金融,已上市1000-9999人,1、负责信用卡推广用户和下卡用户的社群运营工作，包含社群管理、内容经营，变现运营，打造高粘性的社群；2、持续推动用户完成变现业务转化，探索更好的运营机制，整合内外部各种资源，通过持续不断的运营手段，提升用户的参与度；3、核心用户的挖掘和互动，维系社群活跃度；深挖社群用户需求，定期策划线上活动，激发用户参与度，提升社群的创收；4、与社群用户保持密切的沟通，吸纳总结建议意见，并及时作出相应调整改进方案；定期整理、总结运营经验，并推动内容、活动与产品的流程和标准，为扩大运营团队打好基础；5、建立线上培训体系，促进优质内容的分享和沉淀；,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,18000.0
发布于2018-11-14 00:14,用户运营,12K-18K,太保售后服务总部,保险,已上市10000人以上,1.挖掘用户的深层次需求，用户日常运营和维护工作；用户数据分析（用户圈子行为分析、转化）2.制定并实施清晰的用户互动策略，通过持续互动转化潜在用户，提升公司及产品口碑；3.策划并执行相关的运营活动及老客户的老产品讲解、升级等工作。任职资格：1.大专及以上学历，专业不限2.具有良好的沟通能力和学习能力3.有较强的应变能力以及良好的团队精神上班时间：周一至周五8:30~16:00，周末双休，法定节假日休息，五险，不加班。,城市：北京经验：1年以内学历：大专,北京,1年以内,大专,15000.0
发布于2018-10-27 10:51,产品运营,6K-12K,中国太平洋人寿保险,保险,已上市10000人以上,1.负责公司已有客户定期回馈活动筹划、策划及现场协调；2.公司新产品发布活动策划及运作；3.负责老客户的老产品梳理及新产品升级转换；4.负责部门筹建、签约入职即培训等。周一至周五上班，法定假日都休息，年终奖发放，旅游等奖励,城市：北京经验：1-3年学历：大专,北京,1-3年,大专,9000.0
发布于2018-11-19 15:12,用户运营,8K-12K,北京尚德机构,移动互联网,已上市10000人以上,岗位职责：1，以为业务增长为目标，通过用户群体洞察与分析，制定有效的策略与沟通方法，提升用户转化率，拉升用户满意度与品牌产品认可度；2， 与学员沟通课程，及时热情的解答群内学生的疑问，提升用户试听转化率提升，用户召回等核心产品效果优化；3，挖掘更多维度的用户特征与内容，建立全面的客观的数据分析与工作流程标准化建设，为提升用户体验，拉新，提升转化率负责；4，负责产品技术等团队对接与业务流优化和持续对接系统设计优化产品功能；5，跨部门沟通，推动运营项目，协调产品与老师，调整推动课程内容升级，提升用户满意度与用户活跃度与听课时长。任职资格：1，有教育业务经验，懂用户，销售业务指标精通者优先；2，大专以上学历，有用户运营经验者优先；3，具体互联网产品销售运营经验者，特别是对数据，用户增长，营销比较精通这优先；4，有极度的用户角度思考逻辑，场景角度运营意识者优先；5，价值观正，审美表达能力优秀者。,城市：北京经验：1-3年学历：大专,北京,1-3年,大专,10000.0
发布于2018-11-12 18:38,销售运营,9K-18K,中国平安,互联网金融,已上市10000人以上,我们这个是底薪➕提成，时间相对比较自由，适合自己想创业没有平台，或者不甘于固定薪资，想多劳多得的人才我们是中国平安售后服务部，根据公司给的客户进行维护跟服务，可以做贷款，理财，车险，还有卖房子，普通业务员一个月税后一般九千左右，主管税后一般每月最少都在2万左右上班时间上午8:30-11:00半天固定时间班，双休，上保险，不影响接送孩子。其余时间可自由支配！业绩津贴3600元／5400元+佣金+医疗保障+养老金+法定节假日+双休+培训+季度奖+年终奖如果你月薪低于3万元，又想要通过自己努力实现收入增长的请联系我.如果你月薪低于3万，年薪低于30万，又不愿意突破，只想说每个月拿微薄的几千块钱，那您还是找个工作继续安逸到老.,城市：北京经验：1年以内学历：大专,北京,1年以内,大专,13500.0
